@relation Concrete_Data1-weka.filters.unsupervised.attribute.Remove-R1

@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric

@data
139,109,193,6,892,780,28,23.69
236,0,176,13,847,893,28,32.96
118,92,183,7,953,780,28,23.52
153,194,192,8,935,623,28,24.58
117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
236,0,175.8,12.6,846.8,892.7,28,32.96
237,0,174,12,1069,675,28,37.43
236.8,0,173.8,11.9,1069.3,674.8,28,37.43
0,185.3,166.7,15.6,1074.5,678,28,13.46
0,183.9,166.6,11.6,991.2,772.2,28,15.57
0,184,167,12,991,772,28,15.57
0,185,167,16,1074,678,28,13.46
0,111.9,184.4,7.9,992,815.9,28,12.18
178.1,138.7,167.5,18.3,944,694.6,28,36.35
178,139,168,18,944,695,28,36.35
0,112,184,8,992,816,28,12.18
238.7,0,200,6.3,1001.8,683.9,28,26.86
144.7,0,178.1,8,999.7,822.2,28,19.01
102,0,192,0,888,943.1,3,4.78
102,0,192,0,888,943.1,28,17.96
102,0,192,0,888,943.1,90,26.32
102,0,192,0,888,943.1,7,8.37
239,0,200,6,1002,684,28,26.86
145,113,178,8,1002,689,28,25.56
145,113,178,8,867,824,28,26.23
145,0,178,8,1000,822,28,19.01
145,113,178.5,8,1001.9,688.7,28,25.56
145,113,178.5,8,867.2,824,28,26.23
144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
144,112,220,10,923,658,28,16.5
174,185,228,7,845,612,28,24.34
183.4,0,193.3,9.1,1047.4,696.7,28,18.29
0,142.8,193.3,9.1,1047.4,696.7,28,12.46
183.4,0,193.3,9.1,877.2,867.7,28,23.79
0,142.8,193.3,9.1,877.2,867.7,28,9.74
183,0,193,9,1047,697,28,18.28
0,143,193,9,1047,697,28,12.46
183,0,193,9,877,868,28,23.79
184,143,194,9,880,699,28,28.99
0,143,193,9,877,868,28,9.74
183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
243.5,0,180.3,10.7,1022,697.7,28,37.36
243,0,180,11,1022,698,28,37.36
178,187,221,7,854,614,28,29.41
236,0,192,0,935.4,781.2,90,43.38
236,0,192,0,935.4,781.2,28,33.66
236,0,192,0,935.4,781.2,7,16.89
236,0,192,0,935.4,781.2,3,9.69
214,152,200,9,819,704,28,33.05
0,195,220,11,898,713,28,8.54
0,194.9,219.7,11,897.7,712.9,28,8.54
148.9,116,175.1,15,953.3,719.7,28,27.68
238.2,0,185.7,0,1040.6,734.3,7,9.62
238.2,0,185.7,0,1040.6,734.3,28,21.07
149,116,175,15,953,720,28,27.68
187,0,176,11,990,789,28,32.76
209,161,201,7,848,669,28,30.88
186.7,0,175.6,11.3,989.6,788.9,28,32.77
250,0,168.4,12.2,1049.3,688.2,28,39.46
128,122,182,6.4,824,879,28,39.4
188,146,203,11,829,710,28,32.84
250,0,168,12,1049,688,28,39.45
188,146.4,203.2,11.3,828.7,709.7,28,35.31
190,148,179,19,838,741,28,33.76
207,172,216,10,822,638,28,39.84
214,164,202,10,820,680,28,30.65
190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
0,200,181,13,849,846,28,15.09
163,128,197,8,961,641,28,27.23
0,200.1,181.2,12.6,849.3,846,28,15.09
0,150.4,181.6,11.7,1023.3,728.9,28,18.03
0,143.6,163.8,0,1005.6,900.9,3,14.4
128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
0,143.6,163.8,0,1005.6,900.9,14,16.88
128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
0,143.6,163.8,0,1005.6,900.9,28,26.2
128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
0,143.6,163.8,0,1005.6,900.9,56,36.56
128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
0,143.6,163.8,0,1005.6,900.9,100,37.96
128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
0,150,182,12,1023,729,28,18.03
260,0,183,13,859,827,28,37.91
259.7,0,183.2,12.7,858.8,826.8,28,37.92
0,163.3,176.5,4.5,1058.6,780.1,3,10.76
0,163.3,176.5,4.5,1058.6,780.1,14,25.48
0,163.3,176.5,4.5,1058.6,780.1,28,21.54
0,163.3,176.5,4.5,1058.6,780.1,56,28.63
0,163.3,176.5,4.5,1058.6,780.1,100,33.54
250.2,0,203.5,0,975.6,692.6,3,6.9
250.2,0,203.5,0,975.6,692.6,28,33.95
250.2,0,203.5,0,975.6,692.6,7,15.75
250.2,0,203.5,0,975.6,692.6,90,43.57
75.4,167,164,7.9,1007.3,770.1,3,15.52
75.4,167,164,7.9,1007.3,770.1,14,32.9
75.4,167,164,7.9,1007.3,770.1,28,41.41
75.4,167,164,7.9,1007.3,770.1,56,53.46
75.4,167,164,7.9,1007.3,770.1,100,56.81
187,195,185,7,898,636,28,23.89
129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
155.5,0,185.7,0,1026.6,724.3,28,25.73
155.5,0,185.7,0,1026.6,724.3,7,10.73
13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
116,0,192,0,946.8,856.8,7,11.39
116,0,192,0,946.8,856.8,3,6.94
116,0,192,0,946.8,856.8,28,24.28
116,0,192,0,946.8,856.8,90,32.1
50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
0,167,169.6,7.6,1055.6,777.8,3,13.62
0,167,169.6,7.6,1055.6,777.8,14,21.6
0,167,169.6,7.6,1055.6,777.8,28,27.77
0,167,169.6,7.6,1055.6,777.8,56,35.57
0,167,169.6,7.6,1055.6,777.8,100,45.37
272.8,0,185.7,0,1012.4,714.3,28,27.94
272.8,0,185.7,0,1012.4,714.3,7,12.37
45.2,122,170.2,8.2,1059.4,780.7,3,7.32
45.2,122,170.2,8.2,1059.4,780.7,14,21.5
45.2,122,170.2,8.2,1059.4,780.7,28,31.27
45.2,122,170.2,8.2,1059.4,780.7,56,43.5
45.2,122,170.2,8.2,1059.4,780.7,100,48.67
122.6,0,203.5,0,959.2,800,3,4.9
122.6,0,203.5,0,959.2,800,90,32.53
122.6,0,203.5,0,959.2,800,28,24.05
122.6,0,203.5,0,959.2,800,7,10.79
86,190,213,6,923,623,28,22.93
124.1,0,185.7,0,1083.4,764.3,7,8
124.1,0,185.7,0,1083.4,764.3,28,17.6
190,0,228,0,932,670,90,42.33
190,0,228,0,932,670,365,53.69
190,0,228,0,932,670,180,46.93
190,0,228,0,932,670,270,50.66
190,0,228,0,932,670,28,40.86
0,125.2,161.9,9.9,1088.1,802.6,3,9.45
0,125.2,161.9,9.9,1088.1,802.6,14,22.72
0,125.2,161.9,9.9,1088.1,802.6,28,28.47
0,125.2,161.9,9.9,1088.1,802.6,56,38.56
0,125.2,161.9,9.9,1088.1,802.6,100,40.39
0,125.2,166.6,9.9,1079,798.9,3,12.55
0,125.2,166.6,9.9,1079,798.9,14,19.42
0,125.2,166.6,9.9,1079,798.9,28,24.85
0,125.2,166.6,9.9,1079,798.9,56,31.72
0,125.2,166.6,9.9,1079,798.9,100,33.56
0,125.4,162.1,7.8,1090,804,3,15.04
0,125.4,162.1,7.8,1090,804,14,21.06
0,125.4,162.1,7.8,1090,804,28,26.4
0,125.4,162.1,7.8,1090,804,56,35.34
0,125.4,162.1,7.8,1090,804,100,40.57
288,0,192,0,929.8,716.1,3,12.79
288,0,192,0,929.8,716.1,28,39.32
288,0,192,0,929.8,716.1,90,50.73
288,0,192,0,929.8,716.1,7,21.48
290.2,0,185.7,0,998.2,704.3,28,32.63
290.2,0,185.7,0,998.2,704.3,7,17.2
0,100.5,165.6,7.5,1006.4,905.9,3,12.45
0,100.5,165.6,7.5,1006.4,905.9,14,24.99
0,100.5,165.6,7.5,1006.4,905.9,28,25.72
0,100.5,165.6,7.5,1006.4,905.9,56,33.96
0,100.5,165.6,7.5,1006.4,905.9,100,37.34
0,100.5,170.2,7.5,998,901.8,3,12.18
0,100.5,170.2,7.5,998,901.8,14,24.28
0,100.5,170.2,7.5,998,901.8,28,37.27
0,100.5,170.2,7.5,998,901.8,56,43.39
0,100.5,170.2,7.5,998,901.8,100,44.28
132.4,0,192,0,978.4,825.5,360,44.3
132.4,0,192,0,978.4,825.5,90,38.07
132.4,0,192,0,978.4,825.5,28,28.02
132.4,0,192,0,978.4,825.5,180,41.72
132.4,0,192,0,978.4,825.5,7,14.64
132.4,0,192,0,978.4,825.5,3,9.13
200,0,190,0,1145,660,28,49.25
0,0,180,0,1125,845,7,7.84
0,0,180,0,1125,845,28,12.25
133,0,192,0,965.4,806.2,3,11.41
133,0,192,0,965.4,806.2,7,17.17
133,0,192,0,965.4,806.2,28,30.44
133,0,192,0,965.4,806.2,90,43.25
11,141,206,1.7,942,801,28,21.97
11,141,206,1.7,942,801,3,9.85
11,141,206,1.7,942,801,7,15.07
11,141,206,1.7,942,801,56,23.25
135.7,0,185.7,0,1076.2,759.3,7,11.96
135.7,0,185.7,0,1076.2,759.3,28,22.63
305.3,0,203.5,0,963.4,630,7,19.54
305.3,0,203.5,0,963.4,630,28,41.68
305.3,0,203.5,0,963.4,630,3,9.56
305.3,0,203.5,0,963.4,630,90,51.86
316.1,0,185.7,0,977,689.3,7,21.82
316.1,0,185.7,0,977,689.3,28,37.81
0,124.8,159,7.8,1085.4,799.5,3,19.52
0,124.8,159,7.8,1085.4,799.5,14,31.35
0,124.8,159,7.8,1085.4,799.5,28,38.5
0,124.8,159,7.8,1085.4,799.5,56,45.08
0,124.8,159,7.8,1085.4,799.5,100,47.82
141.3,0,203.5,0,973.4,750,7,15.03
141.3,0,203.5,0,973.4,750,28,33
141.3,0,203.5,0,973.4,750,3,6.81
141.3,0,203.5,0,973.4,750,90,39.7
0,121.6,180.3,5.7,1057.6,779.3,3,12.47
0,121.6,180.3,5.7,1057.6,779.3,14,20.92
0,121.6,180.3,5.7,1057.6,779.3,28,24.9
0,121.6,180.3,5.7,1057.6,779.3,56,34.2
0,121.6,180.3,5.7,1057.6,779.3,100,39.61
0,100.4,159.3,8.7,1007.8,903.6,3,13.54
0,100.4,159.3,8.7,1007.8,903.6,14,26.31
0,100.4,159.3,8.7,1007.8,903.6,28,31.64
0,100.4,159.3,8.7,1007.8,903.6,56,42.55
0,100.4,159.3,8.7,1007.8,903.6,100,42.92
0,100.4,159.4,10.4,1003.8,903.8,3,13.33
0,100.4,159.4,10.4,1003.8,903.8,14,25.37
0,100.4,159.4,10.4,1003.8,903.8,28,37.4
0,100.4,159.4,10.4,1003.8,903.8,56,44.4
0,100.4,159.4,10.4,1003.8,903.8,100,47.74
0,174.2,154.6,11.7,1052.3,775.5,3,17.37
0,174.2,154.6,11.7,1052.3,775.5,14,33.7
0,174.2,154.6,11.7,1052.3,775.5,28,45.94
0,174.2,154.6,11.7,1052.3,775.5,56,51.43
0,174.2,154.6,11.7,1052.3,775.5,100,59.3
0,174.2,159.2,11.7,1043.6,771.9,3,15.61
0,174.2,159.2,11.7,1043.6,771.9,14,29.59
0,174.2,159.2,11.7,1043.6,771.9,28,44.64
0,174.2,159.2,11.7,1043.6,771.9,56,51.26
0,174.2,159.2,11.7,1043.6,771.9,100,52.96
98.1,24.5,181.7,6.9,1065.8,785.4,3,18
98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
0,174.7,154.8,10.2,1053.5,776.4,3,17.57
0,174.7,154.8,10.2,1053.5,776.4,14,33.73
0,174.7,154.8,10.2,1053.5,776.4,28,40.15
0,174.7,154.8,10.2,1053.5,776.4,56,46.64
0,174.7,154.8,10.2,1053.5,776.4,100,50.08
98.1,24.5,181.7,6.7,1066,785.5,3,13.18
98.1,24.5,181.7,6.7,1066,785.5,14,17.84
98.1,24.5,181.7,6.7,1066,785.5,28,40.23
