@relation housing_data2-weka.filters.unsupervised.attribute.Remove-R5

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric

@data
3.67367,0,18.1,0,6.312,51.9,3.9917,24,666,20.2,388.62,10.58,21.2
5.69175,0,18.1,0,6.114,79.8,3.5459,24,666,20.2,392.68,14.98,19.1
4.83567,0,18.1,0,5.905,53.2,3.1523,24,666,20.2,388.22,11.45,20.6
8.79212,0,18.1,0,5.565,70.6,2.0635,24,666,20.2,3.65,17.16,11.7
12.2472,0,18.1,0,5.837,59.7,1.9976,24,666,20.2,24.65,15.69,10.2
8.49213,0,18.1,0,6.348,86.1,2.0527,24,666,20.2,83.45,17.64,14.5
10.0623,0,18.1,0,6.833,94.3,2.0882,24,666,20.2,81.33,19.69,14.1
6.44405,0,18.1,0,6.425,74.8,2.2004,24,666,20.2,97.95,12.03,16.1
4.42228,0,18.1,0,6.003,94.5,2.5403,24,666,20.2,331.29,21.32,19.1
8.05579,0,18.1,0,5.427,95.4,2.4298,24,666,20.2,352.58,18.14,13.8
6.39312,0,18.1,0,6.162,97.4,2.206,24,666,20.2,302.76,24.1,13.3
0.17331,0,9.69,0,5.707,54,2.3817,6,391,19.2,396.9,12.01,21.8
0.27957,0,9.69,0,5.926,42.6,2.3817,6,391,19.2,396.9,13.59,24.5
0.17899,0,9.69,0,5.67,28.8,2.7986,6,391,19.2,393.29,17.6,23.1
0.2896,0,9.69,0,5.39,72.9,2.7986,6,391,19.2,396.9,21.14,19.7
0.26838,0,9.69,0,5.794,70.6,2.8927,6,391,19.2,396.9,14.1,18.3
0.23912,0,9.69,0,6.019,65.3,2.4091,6,391,19.2,396.9,12.92,21.2
0.17783,0,9.69,0,5.569,73.5,2.3999,6,391,19.2,395.77,15.1,17.5
0.22438,0,9.69,0,6.027,79.7,2.4982,6,391,19.2,396.9,14.33,16.8
7.40389,0,18.1,0,5.617,97.9,1.4547,24,666,20.2,314.64,26.4,17.2
14.4383,0,18.1,0,6.852,100,1.4655,24,666,20.2,179.36,19.78,27.5
51.1358,0,18.1,0,5.757,100,1.413,24,666,20.2,2.6,10.11,15
