@relation auto-mpg1-weka.filters.unsupervised.attribute.Remove-R6

@attribute cyl numeric
@attribute disp numeric
@attribute horse numeric
@attribute weight numeric
@attribute accel numeric
@attribute orig numeric
@attribute mpg numeric

@data
8,350,175,4100,13,1,13
8,304,150,3672,11.5,1,14
8,350,145,3988,13,1,13
8,302,137,4042,14.5,1,14
8,318,150,3777,12.5,1,15
8,429,198,4952,11.5,1,12
8,400,150,4464,12,1,13
8,351,158,4363,13,1,13
8,318,150,4237,14.5,1,14
8,440,215,4735,11,1,13
8,455,225,4951,11,1,12
8,360,175,3821,11,1,13
6,225,105,3121,16.5,1,18
6,250,100,3278,18,1,16
6,232,100,2945,16,1,18
6,250,88,3021,16.5,1,18
6,198,95,2904,16,1,23
4,97,46,1950,21,2,26
8,400,150,4997,14,1,11
8,400,167,4906,12.5,1,12
8,360,170,4654,13,1,13
8,350,180,4499,12.5,1,12
6,232,100,2789,15,1,18
4,97,88,2279,19,3,20
4,140,72,2401,19.5,1,21
4,108,94,2379,16.5,3,22
3,70,90,2124,13.5,3,18
4,122,85,2310,18.5,1,19
6,155,107,2472,14,1,21
4,98,90,2265,15.5,2,26
8,350,145,4082,13,1,15
8,400,230,4278,9.5,1,16
4,68,49,1867,19.5,2,29
4,116,75,2158,15.5,2,24
4,114,91,2582,14,2,20
4,121,112,2868,15.5,2,19
8,318,150,3399,11,1,15
4,121,110,2660,14,2,24
6,156,122,2807,13.5,3,20
8,350,180,3664,11,1,11
6,198,95,3102,16.5,1,20
6,200,?,2875,17,1,21
6,232,100,2901,16,1,19
6,250,100,3336,17,1,15
4,79,67,1950,19,3,31
4,122,80,2451,16.5,1,26
4,71,65,1836,21,3,32
4,140,75,2542,17,1,25
6,250,100,3781,17,1,16
6,258,110,3632,18,1,16
6,225,105,3613,16.5,1,18
8,302,140,4141,14,1,16
8,350,150,4699,14.5,1,13
8,318,150,4457,13.5,1,14
8,302,140,4638,16,1,14
8,304,150,4257,15.5,1,14
4,98,83,2219,16.5,2,29
4,79,67,1963,15.5,2,26
4,97,78,2300,14.5,2,26
4,76,52,1649,16.5,3,31
4,83,61,2003,19,3,32
4,90,75,2125,14.5,1,28
4,90,75,2108,15.5,2,24
4,116,75,2246,14,2,26
4,120,97,2489,15,3,24
4,108,93,2391,15.5,3,26
4,79,67,2000,16,2,31
6,225,95,3264,16,1,19
6,250,105,3459,16,1,18
6,250,72,3432,21,1,15
6,250,72,3158,19.5,1,15
8,400,170,4668,11.5,1,16
8,350,145,4440,14,1,15
8,318,150,4498,14.5,1,16
8,351,148,4657,13.5,1,14
6,231,110,3907,21,1,17
6,250,105,3897,18.5,1,16
6,258,110,3730,19,1,15
6,225,95,3785,19,1,18
6,231,110,3039,15,1,21
8,262,110,3221,13.5,1,20
8,302,129,3169,12,1,13
4,97,75,2171,16,3,29
4,140,83,2639,17,1,23
6,232,100,2914,16,1,20
4,140,78,2592,18.5,1,23
4,134,96,2702,13.5,3,24
4,90,71,2223,16.5,2,25
4,119,97,2545,17,3,24
6,171,97,2984,14.5,1,18
4,90,70,1937,14,2,29
6,232,90,3211,17,1,19
4,115,95,2694,15,2,23
4,120,88,2957,17,2,23
4,121,98,2945,14.5,2,22
4,121,115,2671,13.5,2,25
4,91,53,1795,17.5,3,33
4,107,86,2464,15.5,2,28
4,116,81,2220,16.9,2,25
4,140,92,2572,14.9,1,25
4,98,79,2255,17.7,1,26
4,101,83,2202,15.3,2,27
8,305,140,4215,13,1,17.5
8,318,150,4190,13,1,16
8,304,120,3962,13.9,1,15.5
8,351,152,4215,12.8,1,14.5
6,225,100,3233,15.4,1,22
6,250,105,3353,14.5,1,22
6,200,81,3012,17.6,1,24
6,232,90,3085,17.6,1,22.5
4,85,52,2035,22.2,1,29
4,98,60,2164,22.1,1,24.5
4,90,70,1937,14.2,2,29
4,91,53,1795,17.4,3,33
6,225,100,3651,17.7,1,20
6,250,78,3574,21,1,18
6,250,110,3645,16.2,1,18.5
6,258,95,3193,17.8,1,17.5
4,97,71,1825,12.2,2,29.5
4,85,70,1990,17,3,32
4,97,75,2155,16.4,3,28
4,140,72,2565,13.6,1,26.5
4,130,102,3150,15.7,2,20
8,318,150,3940,13.2,1,13
4,120,88,3270,21.9,2,19
6,156,108,2930,15.5,3,19
6,168,120,3820,16.7,2,16.5
8,350,180,4380,12.1,1,16.5
8,350,145,4055,12,1,13
8,302,130,3870,15,1,13
8,318,150,3755,14,1,13
4,98,68,2045,18.5,3,31.5
4,111,80,2155,14.8,1,30
4,79,58,1825,18.6,2,36
4,122,96,2300,15.5,1,25.5
4,85,70,1945,16.8,3,33.5
8,305,145,3880,12.5,1,17.5
8,260,110,4060,19,1,17
8,318,145,4140,13.7,1,15.5
8,302,130,4295,14.9,1,15
6,250,110,3520,16.4,1,17.5
6,231,105,3425,16.9,1,20.5
6,225,100,3630,17.7,1,19
6,250,98,3525,19,1,18.5
8,400,180,4220,11.1,1,16
8,350,170,4165,11.4,1,15.5
8,400,190,4325,12.2,1,15.5
8,351,149,4335,14.5,1,16
4,97,78,1940,14.5,2,29
4,151,88,2740,16,1,24.5
4,97,75,2265,18.2,3,26
4,140,89,2755,15.8,1,25.5
4,98,63,2051,17,1,30.5
4,98,83,2075,15.9,1,33.5
4,97,67,1985,16.4,3,30
4,97,78,2190,14.1,2,30.5
6,146,97,2815,14.5,3,22
4,121,110,2600,12.8,2,21.5
3,80,110,2720,13.5,3,21.5
4,90,48,1985,21.5,2,43.1
4,98,66,1800,14.4,1,36.1
4,78,52,1985,19.4,3,32.8
4,85,70,2070,18.6,3,39.4
4,91,60,1800,16.4,3,36.1
8,260,110,3365,15.5,1,19.9
8,318,140,3735,13.2,1,19.4
8,302,139,3570,12.8,1,20.2
6,231,105,3535,19.2,1,19.2
6,200,95,3155,18.2,1,20.5
6,200,85,2965,15.8,1,20.2
4,140,88,2720,15.4,1,25.1
6,225,100,3430,17.2,1,20.5
6,232,90,3210,17.2,1,19.4
6,231,105,3380,15.8,1,20.6
6,200,85,3070,16.7,1,20.8
6,225,110,3620,18.7,1,18.6
6,258,120,3410,15.1,1,18.1
8,305,145,3425,13.2,1,19.2
6,231,165,3445,13.4,1,17.7
8,302,139,3205,11.2,1,18.1
8,318,140,4080,13.7,1,17.5
